(3 + 3) x 8 = 48
6 - 5 = 1
20 / 10 = 2
5 - 2 = 3
(9 - 4) x 2 = 10
10 - 4 = 6
10 x (8 - 6) = 20
2 x (6 - 3) = 6
(8 + 9) x 5 = 85
2 - 0 = 2
9 + 9 = 18
81 / 9 = 9
7 - 2 = 5
1 + 7 = 8
8 / (1 + 1) = 4
7 + 6 = 13
(2 + 5) x 9 = 63
9 + 4 = 13
6 + 8 = 14
2 + 5 = 7
(8 + 1) x 10 = 90
8 + 1 = 9
90 / (10 + 0) = 9
6 / 3 = 2
6 x (2 + 10) = 72
1 - 0 = 1
4 x 1 = 4
5 - 4 = 1
16 / (5 + 3) = 2
(9 - 3) x 8 = 48
3 + 6 = 9
36 / 9 = 4
18 / 3 = 6
4 + 2 = 6
4 + 5 = 9
7 - 2 = 5
4 + 8 = 12
12 / 2 = 6
4 + 7 = 11
0 + 2 = 2
(7 + 1) x 5 = 40
(3 + 7) x 6 = 60
1 / (2 - 1) = 1
6 x (7 + 3) = 60
8 - 6 = 2
4 + 9 = 13
1 x (10 - 8) = 2
1 x (2 + 4) = 6
7 - 2 = 5
3 + 2 = 5
3 / 1 = 3
(4 + 2) x 5 = 30
(7 - 5) x 9 = 18
2 + 4 = 6
(0 + 2) x (6 - 2) = 8
30 / (8 - 3) = 6
4 + 9 = 13
8 x 9 = 72
7 + 5 = 12
6 / 2 = 3
4 + 6 = 10
8 - 6 = 2
7 + 5 = 12
5 + 8 = 13
0 + 9 = 9
5 + 5 = 10
6 + 7 = 13
9 + 1 = 10
35 / 7 = 5
6 + 9 = 15
7 + 2 = 9
10 - 7 = 3
9 + 4 = 13
10 + 8 = 18
2 x (10 - 1) = 18
(7 + 8) x 4 = 60
8 - 1 = 7
20 / (8 - 6) = 10
2 - 1 = 1
3 - 1 = 2
10 / (7 - 5) = 5
6 + 7 = 13
16 / 4 = 4
5 + 0 = 5
1 x 2 = 2
0 + 2 = 2
4 + 3 = 7
4 + 7 = 11
24 / 8 = 3
8 x 6 = 48
10 + 5 = 15
5 + 6 = 11
9 + 3 = 12
(9 + 8) x 2 = 34
5 x 9 = 45
35 / (2 + 3) = 7
91 / (8 + 5) = 7
4 / (2 - 1) = 4
64 / 8 = 8
10 + 7 = 17
18 / (1 + 5) = 3
2 + 8 = 10
6 - 1 = 5
1 + 2 = 3
(7 - 1) x (1 + 5) = 36
80 / (9 - 1) = 10
16 / (4 + 4) = 2
20 / 5 = 4
25 / (4 + 1) = 5
(6 + 2) x (4 + 0) = 32
45 / (1 + 8) = 5
2 + 2 = 4
1 x (1 + 0) = 1
28 / 4 = 7
5 - 3 = 2
81 / (7 + 2) = 9
6 + 3 = 9
5 x (4 + 2) = 30
64 / 8 = 8
5 + 3 = 8
8 - 1 = 7
120 / (9 + 6) = 8
24 / 4 = 6
9 + 5 = 14
9 + 8 = 17
3 + 0 = 3
6 + 9 = 15
10 + 8 = 18
6 + 9 = 15
10 - 0 = 10
(7 - 6) x 8 = 8
36 / 9 = 4
9 - 5 = 4
6 - 3 = 3
21 / (5 + 2) = 3
4 + 8 = 12
